Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Signal Gained Profit %
01/03/2021 10:30,#Delta 15 staging,,Binance Futures,YFII/USDT,Cancelled,Isolated (5.0X),Short,0,-17.1982
01/03/2021 10:17,#Delta 15 staging,,Binance Futures,SOL/USDT,Cancelled,Isolated (5.0X),Short,0,-8.2219
01/03/2021 10:04,#Delta 15 staging,,Binance Futures,SRM/USDT,Cancelled,Isolated (5.0X),Short,0,-7.6801
01/03/2021 08:30,#Delta 15 staging,,Binance Futures,CVC/USDT,Cancelled,Isolated (5.0X),Long,1,1.785
01/03/2021 08:24,#Delta 15 staging,,Binance Futures,BAND/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0009
01/03/2021 08:21,#Delta 15 staging,,Binance Futures,YFI/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,9.9998
01/03/2021 08:16,#Delta 15 staging,,Binance Futures,NEAR/USDT,Partial Targets Achieved,Isolated (5.0X),Long,2,3.5006
01/03/2021 08:16,#Delta 15 staging,,Binance Futures,SNX/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0005
01/03/2021 08:15,#Delta 15 staging,,Binance Futures,AXS/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,9.9868
01/03/2021 08:15,#Delta 15 staging,,Binance Futures,DOGE/USDT,Cancelled,Isolated (5.0X),Long,0,0
01/03/2021 08:14,#Delta 15 staging,,Binance Futures,HNT/USDT,Cancelled,Isolated (5.0X),Long,1,-1.5012
01/03/2021 08:14,#Delta 15 staging,,Binance Futures,SOL/USDT,Cancelled,Isolated (5.0X),Long,0,-5.1697
01/03/2021 08:09,#Delta 15 staging,,Binance Futures,CRV/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,9.9834
01/03/2021 08:02,#Delta 15 staging,,Binance Futures,ALPHA/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,11.9036
01/03/2021 08:02,#Delta 15 staging,,Binance Futures,YFII/USDT,Partial Targets Achieved,Isolated (5.0X),Long,4,11.5025
01/03/2021 08:01,#Delta 15 staging,,Binance Futures,BAL/USDT,Cancelled,Isolated (5.0X),Long,4,12.1937
01/03/2021 08:00,#Delta 15 staging,,Binance Futures,UNI/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0003
01/03/2021 07:56,#Delta 15 staging,,Binance Futures,AAVE/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0003
01/03/2021 07:56,#Delta 15 staging,,Binance Futures,TRB/USDT,Partial Targets Achieved,Isolated (5.0X),Long,3,10.0034
